Time,coffee: (United States)
5/21/21 21:00,45
5/21/21 22:00,43
5/21/21 23:00,46
5/22/21 0:00,40
5/22/21 1:00,37
5/22/21 2:00,31
5/22/21 3:00,28
5/22/21 4:00,30
5/22/21 5:00,34
5/22/21 6:00,62
5/22/21 7:00,85
5/22/21 8:00,97
5/22/21 9:00,95
5/22/21 10:00,88
5/22/21 11:00,85
5/22/21 12:00,73
5/22/21 13:00,70
5/22/21 14:00,64
5/22/21 15:00,58
5/22/21 16:00,56
5/22/21 17:00,55
5/22/21 18:00,50
5/22/21 19:00,48
5/22/21 20:00,47
5/22/21 21:00,45
5/22/21 22:00,43
5/22/21 23:00,42
5/23/21 0:00,39
5/23/21 1:00,36
5/23/21 2:00,32
5/23/21 3:00,29
5/23/21 4:00,30
5/23/21 5:00,33
5/23/21 6:00,56
5/23/21 7:00,85
5/23/21 8:00,100
5/23/21 9:00,97
5/23/21 10:00,96
5/23/21 11:00,87
5/23/21 12:00,74
5/23/21 13:00,72
5/23/21 14:00,66
5/23/21 15:00,61
5/23/21 16:00,56
5/23/21 17:00,53
5/23/21 18:00,50
5/23/21 19:00,50
5/23/21 20:00,46
5/23/21 21:00,46
5/23/21 22:00,48
5/23/21 23:00,46
5/24/21 0:00,40
5/24/21 1:00,38
5/24/21 2:00,31
5/24/21 3:00,31
5/24/21 4:00,31
5/24/21 5:00,35
5/24/21 6:00,55
5/24/21 7:00,65
5/24/21 8:00,62
5/24/21 9:00,61
5/24/21 10:00,57
5/24/21 11:00,55
5/24/21 12:00,53
5/24/21 13:00,50
5/24/21 14:00,48
5/24/21 15:00,46
5/24/21 16:00,44
5/24/21 17:00,44
5/24/21 18:00,43
5/24/21 19:00,44
5/24/21 20:00,44
5/24/21 21:00,46
5/24/21 22:00,44
5/24/21 23:00,43
5/25/21 0:00,41
5/25/21 1:00,36
5/25/21 2:00,33
5/25/21 3:00,30
5/25/21 4:00,29
5/25/21 5:00,34
5/25/21 6:00,55
5/25/21 7:00,67
5/25/21 8:00,66
5/25/21 9:00,64
5/25/21 10:00,58
5/25/21 11:00,56
5/25/21 12:00,51
5/25/21 13:00,49
5/25/21 14:00,47
5/25/21 15:00,47
5/25/21 16:00,44
5/25/21 17:00,44
5/25/21 18:00,43
5/25/21 19:00,42
5/25/21 20:00,42
5/25/21 21:00,43
5/25/21 22:00,41
5/25/21 23:00,41
5/26/21 0:00,39
5/26/21 1:00,35
5/26/21 2:00,30
5/26/21 3:00,28
5/26/21 4:00,31
5/26/21 5:00,34
5/26/21 6:00,52
5/26/21 7:00,64
5/26/21 8:00,67
5/26/21 9:00,62
5/26/21 10:00,62
5/26/21 11:00,57
5/26/21 12:00,52
5/26/21 13:00,51
5/26/21 14:00,46
5/26/21 15:00,44
5/26/21 16:00,42
5/26/21 17:00,42
5/26/21 18:00,42
5/26/21 19:00,41
5/26/21 20:00,40
5/26/21 21:00,41
5/26/21 22:00,43
5/26/21 23:00,41
5/27/21 0:00,41
5/27/21 1:00,38
5/27/21 2:00,30
5/27/21 3:00,34
5/27/21 4:00,32
5/27/21 5:00,36
5/27/21 6:00,53
5/27/21 7:00,68
5/27/21 8:00,66
5/27/21 9:00,64
5/27/21 10:00,60
5/27/21 11:00,56
5/27/21 12:00,52
5/27/21 13:00,47
5/27/21 14:00,46
5/27/21 15:00,44
5/27/21 16:00,43
5/27/21 17:00,43
5/27/21 18:00,42
5/27/21 19:00,41
5/27/21 20:00,41
5/27/21 21:00,42
5/27/21 22:00,40
5/27/21 23:00,40
5/28/21 0:00,36
5/28/21 1:00,33
5/28/21 2:00,28
5/28/21 3:00,29
5/28/21 4:00,31
5/28/21 5:00,34
5/28/21 6:00,53
5/28/21 7:00,71
5/28/21 8:00,74
5/28/21 9:00,70
5/28/21 10:00,66
5/28/21 11:00,60
5/28/21 12:00,57
5/28/21 13:00,52
5/28/21 14:00,50
5/28/21 15:00,48
5/28/21 16:00,46
5/28/21 17:00,46
5/28/21 18:00,44
5/28/21 19:00,45
5/28/21 20:00,43